date,reproduction_rate
2021-02-01,0.923267955801105
2021-02-02,0.9212734806629833
2021-02-03,0.9190685082872929
2021-02-04,0.9180226519337017
2021-02-05,0.9184259668508287
2021-02-06,0.9183276243093922
2021-02-07,0.9181331491712706
2021-02-08,0.9181187845303866
2021-02-09,0.9180817679558011
2021-02-10,0.9177204419889503
2021-02-11,0.9175790055248618
2021-02-12,0.9157703296703297
2021-02-13,0.9166967032967033
2021-02-14,0.9197873626373626
2021-02-15,0.9232565934065934
2021-02-16,0.9250978021978021
2021-02-17,0.9294961538461538
2021-02-18,0.9347428571428571
2021-02-19,0.940171978021978
2021-02-20,0.946717032967033
2021-02-21,0.9528901098901098
2021-02-22,0.9577945054945055
2021-02-23,0.9625379120879122
2021-02-24,0.9661901098901099
2021-02-25,0.9692978021978023
2021-02-26,0.971979120879121
2021-02-27,0.9746554945054946
2021-02-28,0.9772357142857143
2021-03-01,0.9801648351648352
2021-03-02,0.9834478021978023
2021-03-03,0.985595054945055
2021-03-04,0.9873082417582417
2021-03-05,0.9896016483516483
2021-03-06,0.9921307692307693
2021-03-07,0.9944236263736264
2021-03-08,0.9970197802197803
2021-03-09,0.9998675824175824
2021-03-10,1.003735164835165
2021-03-11,1.0072813186813188
2021-03-12,1.0102296703296703
2021-03-13,1.012531868131868
2021-03-14,1.0145071428571428
2021-03-15,1.016636813186813
2021-03-16,1.0190725274725276
2021-03-17,1.0204868131868132
2021-03-18,1.0211263736263736
2021-03-19,1.0209076923076923
2021-03-20,1.0206565934065934
2021-03-21,1.0200252747252747
2021-03-22,1.0199428571428573
2021-03-23,1.0198774725274726
2021-03-24,1.020073076923077
2021-03-25,1.02034010989011
2021-03-26,1.021006043956044
2021-03-27,1.0205873626373627
2021-03-28,1.0198967032967032
2021-03-29,1.0192593406593407
2021-03-30,1.0174197802197802
2021-03-31,1.0157912087912087
2021-04-01,1.0130813186813186
2021-04-02,1.0095296703296703
2021-04-03,1.0058291208791208
2021-04-04,1.003167032967033
2021-04-05,1.001439010989011
2021-04-06,1.0022296703296703
2021-04-07,1.0029373626373628
2021-04-08,1.0039016483516485
2021-04-09,1.0028510989010988
2021-04-10,0.999706043956044
2021-04-11,0.9963758241758242
2021-04-12,0.9914472527472528
2021-04-13,0.986582967032967
2021-04-14,0.9817241758241758
2021-04-15,0.9776115384615385
2021-04-16,0.9752664835164836
2021-04-17,0.9726703296703297
2021-04-18,0.9695483516483516
2021-04-19,0.9660763736263736
2021-04-20,0.9625818681318681
2021-04-21,0.9589576923076923
2021-04-22,0.9549846153846153
2021-04-23,0.9498368131868131
2021-04-24,0.9520879781420765
2021-04-25,0.9470939890710381
2021-04-26,0.9420639344262296
2021-04-27,0.935738043478261
2021-04-28,0.9295092391304347
2021-04-29,0.9233505434782608
2021-04-30,0.9172157608695651
2021-05-01,0.9130201086956522
2021-05-02,0.909686956521739
2021-05-03,0.9062163043478261
2021-05-04,0.903032608695652
2021-05-05,0.9016108695652174
2021-05-06,0.9012755434782609
2021-05-07,0.901228804347826
2021-05-08,0.9005347826086956
2021-05-09,0.8989108695652174
2021-05-10,0.8962315217391305
2021-05-11,0.893050543478261
2021-05-12,0.8912081521739131
2021-05-13,0.8901608695652174
2021-05-14,0.8915407608695652
2021-05-15,0.8941326086956521
2021-05-16,0.8974451086956521
2021-05-17,0.9001972826086957
2021-05-18,0.9020304347826087
2021-05-19,0.9030831521739131
2021-05-20,0.904020652173913
2021-05-21,0.9045739130434782
2021-05-22,0.9050967391304348
2021-05-23,0.9041972826086956
2021-05-24,0.9039119565217391
2021-05-25,0.9045282608695652
2021-05-26,0.9042163043478261
2021-05-27,0.9044054347826086
2021-05-28,0.9044336956521739
2021-05-29,0.9039168478260869
2021-05-30,0.9046739130434783
2021-05-31,0.9052293478260869
2021-06-01,0.9063163043478262
2021-06-02,0.9071440217391304
2021-06-03,0.9064989130434782
2021-06-04,0.9064516304347826
2021-06-05,0.9067293478260869
2021-06-06,0.9063934782608696
2021-06-07,0.9061048913043478
2021-06-08,0.907271195652174
2021-06-09,0.9099472826086956
2021-06-10,0.9136016304347826
2021-06-11,0.9167972826086956
2021-06-12,0.9197923913043479
2021-06-13,0.9235827027027027
2021-06-14,0.9256762162162162
2021-06-15,0.926958918918919
2021-06-16,0.9296827027027027
2021-06-17,0.9335459459459459
2021-06-18,0.9389918918918919
2021-06-19,0.9450475675675676
2021-06-20,0.9518145945945946
2021-06-21,0.9601621621621621
2021-06-22,0.9684091891891892
2021-06-23,0.9756313513513514
2021-06-24,0.982345945945946
2021-06-25,0.9880648648648649
2021-06-26,0.9918243243243244
2021-06-27,0.9956145945945947
2021-06-28,1.000644864864865
2021-06-29,1.004695135135135
2021-06-30,1.0097302702702702
2021-07-01,1.0165794594594595
2021-07-02,1.0237356756756757
2021-07-03,1.0320978378378378
2021-07-04,1.0416654054054053
2021-07-05,1.0510043243243243
2021-07-06,1.0612227027027028
2021-07-07,1.0696897297297296
2021-07-08,1.0764427027027026
2021-07-09,1.081204864864865
2021-07-10,1.0828778378378379
2021-07-11,1.0840772972972974
2021-07-12,1.0858416216216216
2021-07-13,1.086642162162162
2021-07-14,1.0869151351351352
2021-07-15,1.0867362162162162
2021-07-16,1.0851778378378378
2021-07-17,1.0839448648648649
2021-07-18,1.0822054054054053
2021-07-19,1.0805502702702703
2021-07-20,1.0795735135135136
2021-07-21,1.0785378378378379
2021-07-22,1.078291891891892
2021-07-23,1.0800605405405406
2021-07-24,1.0837545945945946
2021-07-25,1.0861956756756757
2021-07-26,1.0884124324324325
2021-07-27,1.0890967741935484
2021-07-28,1.0877618279569892
2021-07-29,1.0846435483870966
2021-07-30,1.0805397849462366
2021-07-31,1.0767639784946237
2021-08-01,1.0731112903225808
2021-08-02,1.070074193548387
2021-08-03,1.0695430107526882
2021-08-04,1.0688870967741935
2021-08-05,1.0686037634408603
2021-08-06,1.0683381720430107
2021-08-07,1.0662908602150536
2021-08-08,1.065028494623656
2021-08-09,1.0630446236559141
2021-08-10,1.0611978494623655
2021-08-11,1.0607956989247311
2021-08-12,1.0589037634408602
2021-08-13,1.0566043010752688
2021-08-14,1.0533510752688173
2021-08-15,1.050286559139785
2021-08-16,1.047137634408602
2021-08-17,1.0447709677419355
2021-08-18,1.041786559139785
2021-08-19,1.0387978494623655
2021-08-20,1.035037634408602
2021-08-21,1.0314102150537634
2021-08-22,1.0282096774193548
2021-08-23,1.024908064516129
2021-08-24,1.021133870967742
2021-08-25,1.0166758064516128
2021-08-26,1.0109505376344086
2021-08-27,1.0050155913978494
2021-08-28,0.9998569892473118
2021-08-29,0.9932666666666667
2021-08-30,0.9867822580645162
2021-08-31,0.9799951612903226
2021-09-01,0.9747193548387096
2021-09-02,0.9699424731182795
2021-09-03,0.9654134408602151
2021-09-04,0.9612715053763441
2021-09-05,0.9579279569892473
2021-09-06,0.9546607526881721
2021-09-07,0.9514301075268817
2021-09-08,0.9473043010752689
2021-09-09,0.9438005376344085
2021-09-10,0.9414010752688171
2021-09-11,0.9399252688172043
2021-09-12,0.9386290322580646
2021-09-13,0.9362091397849461
2021-09-14,0.9322102150537634
2021-09-15,0.9276456989247313
2021-09-16,0.923733870967742
2021-09-17,0.9197258064516128
2021-09-18,0.9160123655913979
2021-09-19,0.911944623655914
2021-09-20,0.9078962365591398
2021-09-21,0.9030913978494624
2021-09-22,0.9000645161290323
2021-09-23,0.8984537634408603
2021-09-24,0.8972586021505375
2021-09-25,0.8961715053763442
2021-09-26,0.8944268817204302
2021-09-27,0.8922408602150539
2021-09-28,0.8903403225806451
2021-09-29,0.8890215053763441
2021-09-30,0.8890306451612904
2021-10-01,0.8891247311827957
2021-10-02,0.8885569892473119
2021-10-03,0.8883290322580645
2021-10-04,0.8889413978494624
2021-10-05,0.8895693548387097
2021-10-06,0.8898930107526882
2021-10-07,0.8894623655913978
2021-10-08,0.8890951612903226
2021-10-09,0.8893559139784946
2021-10-10,0.8908102150537635
2021-10-11,0.8913930107526882
2021-10-12,0.8936768817204301
2021-10-13,0.8957704301075269
2021-10-14,0.8981236559139785
2021-10-15,0.9008102150537635
2021-10-16,0.9038225806451612
2021-10-17,0.9075295698924731
2021-10-18,0.9110150537634409
2021-10-19,0.9137381720430107
2021-10-20,0.9159139784946237
2021-10-21,0.9187069892473119
2021-10-22,0.9216403225806451
2021-10-23,0.9236978494623656
2021-10-24,0.9248032258064516
2021-10-25,0.9261897849462365
2021-10-26,0.9271870967741935
2021-10-27,0.9279736559139785
2021-10-28,0.9284225806451613
2021-10-29,0.9293736559139785
2021-10-30,0.9295263440860214
2021-10-31,0.9294010752688173
2021-11-01,0.9286064516129032
2021-11-02,0.9287629032258065
2021-11-03,0.9296354838709678
2021-11-04,0.9313752688172043
2021-11-05,0.9325112903225807
2021-11-06,0.9342177419354839
2021-11-07,0.9336897849462366
2021-11-08,0.932758064516129
2021-11-09,0.9306806451612905
2021-11-10,0.930355376344086
2021-11-11,0.92877688172043
2021-11-12,0.9277516129032258
2021-11-13,0.9282693548387096
2021-11-14,0.9287650537634409
2021-11-15,0.9296413978494623
2021-11-16,0.9301860215053763
2021-11-17,0.9308236559139784
2021-11-18,0.9317381720430108
2021-11-19,0.9343978494623656
2021-11-20,0.9384392473118279
2021-11-21,0.9435591397849463
2021-11-22,0.9465978494623657
2021-11-23,0.9491661290322582
2021-11-24,0.9508822580645162
2021-11-25,0.9545317204301076
2021-11-26,0.959686559139785
2021-11-27,0.9661069892473118
2021-11-28,0.9736096774193548
2021-11-29,0.9824494623655914
2021-11-30,0.9873956989247311
2021-12-01,0.9908935483870968
2021-12-02,0.9939612903225806
2021-12-03,0.9966166666666667
2021-12-04,0.9975822580645161
2021-12-05,0.9999155913978494
2021-12-06,1.0014682795698924
2021-12-07,1.0032403225806452
2021-12-08,1.006662365591398
2021-12-09,1.0122752688172043
2021-12-10,1.0191650537634407
2021-12-11,1.028118817204301
2021-12-12,1.0375010752688172
2021-12-13,1.0464822580645161
2021-12-14,1.0590198924731182
2021-12-15,1.0710236559139785
2021-12-16,1.083455376344086
2021-12-17,1.0976413978494624
2021-12-18,1.110908064516129
2021-12-19,1.1249946236559139
2021-12-20,1.137883870967742
2021-12-21,1.1524844086021506
2021-12-22,1.1665440860215055
2021-12-23,1.1805096774193549
2021-12-24,1.1953575268817205
2021-12-25,1.2101118279569893
2021-12-26,1.224018817204301
2021-12-27,1.2427978494623657
2021-12-28,1.2627075268817203
2021-12-29,1.2816564516129032
2021-12-30,1.2944510752688172
2021-12-31,1.2999467741935484
2022-01-01,1.3007870967741937
2022-01-02,1.3038639784946235
2022-01-03,1.3127575268817204
